Keyword,Severity,Confidence,OWASP,CVSS,Remediation,File,Line,Content
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,227,"""file"": ""/Users/davidionclarksr./python-projects/secure-scan/data/urgent_payroll_password.txt"","
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,249,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,257,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,265,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,273,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,281,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,289,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,297,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,305,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
password,HIGH,MEDIUM,A02: Cryptographic Failures,8.0,Review finding and remediate appropriately.,/Users/davidionclarksr./python-projects/secure-scan/data/vulnerability_history.json,313,"""content"": ""Suspicious filename: urgent_payroll_password.txt"""
